ISO,Country,Country_FR,AU_Regions,Area,Upop1950,Upop1960,Upop1970,Upop1980,Upop1990,Upop2000,Upop2010,Upop2015,Upop2020,Upop2025,Upop2030,Upop2035,Upop2040,Upop2045,Upop2050,Usurf2015,Usurf2020,Usurf2025,Usurf2030,Usurf2035,Usurf2040,Usurf2045,Usurf2050,TPOP1950,TPOP1960,TPOP1970,TPOP1980,TPOP1990,TPOP2000,TPOP2010,TPOP2015,TPOP2020,TPOP2025,TPOP2030,TPOP2035,TPOP2040,TPOP2045,TPOP2050,Urbanlevel1950,Urbanlevel1960,Urbanlevel1970,Urbanlevel1980,Urbanlevel1990,Urbanlevel2000,Urbanlevel2010,Urbanlevel2015,Urbanlevel2020,Urbanlevel2025,Urbanlevel2030,Urbanlevel2035,Urbanlevel2040,Urbanlevel2045,Urbanlevel2050,NumAgglos1950,NumAgglos1960,NumAgglos1970,NumAgglos1980,NumAgglos1990,NumAgglos2000,NumAgglos2010,NumAgglos2015,NumAgglos2020,NumAgglos2025,NumAgglos2030,NumAgglos2035,NumAgglos2040,NumAgglos2045,NumAgglos2050,Mpop1950,Mpop1960,Mpop1970,Mpop1980,Mpop1990,Mpop2000,Mpop2010,Mpop2015,Mpop2020,Mpop2025,Mpop2030,Mpop2035,Mpop2040,Mpop2045,Mpop2050,ADBA1950,ADBA1960,ADBA1970,ADBA1980,ADBA1990,ADBA2000,ADBA2010,ADBA2015,ADBA2020,ADBA2025,ADBA2030,ADBA2035,ADBA2040,ADBA2045,ADBA2050
COM,Comoros,Comores,East Africa,"1,659",-,-,"12,996","33,767","51,690","140,906","185,164","401,170","524,943","587,505","663,799","731,589","824,464","931,518","1,052,020",47,79,91,107,122,143,170,199,"147,645","171,532","241,853","335,150","435,248","550,391","734,515","838,823","869,595","984,946","1,071,659","1,156,352","1,238,895","1,317,273","1,386,704",0%,0%,5%,10%,12%,26%,25%,48%,60%,60%,62%,63%,67%,71%,76%,0,0,1,2,2,7,7,15,18,18,20,21,23,27,32,0%,0%,100%,51%,56%,34%,44%,32%,29%,29%,29%,29%,33%,31%,29%,0.0,0.0,0.0,128.5,128.5,25.2,23.4,10.3,9.8,10.2,9.7,10.0,9.0,7.7,5.3
CPV,Cabo Verde,Cabo Verde,West Africa,"4,030","10,084","31,500","50,291","77,735","108,753","169,796","229,588","263,913","272,671","293,780","336,284","358,116","378,036","395,137","409,026",47,62,68,80,88,95,102,108,"149,984","199,902","271,292","295,703","355,278","434,812","491,875","524,833","484,000","503,923","520,804","534,068","543,728","548,923","549,623",7%,16%,19%,26%,31%,39%,47%,50%,56%,58%,65%,67%,70%,72%,74%,1,2,2,2,2,3,4,4,6,6,8,8,8,8,8,100%,100%,100%,100%,100%,94%,87%,85%,76%,77%,72%,71%,71%,71%,70%,0.0,263.9,263.9,263.9,263.9,210.5,115.8,115.8,78.0,78.0,45.6,45.6,45.6,45.6,45.6
DJI,Djibouti,Djibouti,East Africa,"23,180","31,900","37,400","88,600","183,954","273,557","390,883","593,127","688,802","744,027","794,983","839,690","877,923","909,575","936,223","957,378",61,76,83,90,95,100,104,108,"50,000","78,400","145,200","244,613","340,282","475,899","841,067","956,000","1,080,000","1,142,905","1,195,719","1,238,405","1,271,100","1,296,263","1,313,431",64%,48%,61%,75%,80%,82%,71%,72%,69%,70%,70%,71%,72%,72%,73%,1,1,1,1,1,1,6,7,7,7,7,7,7,7,7,100%,100%,100%,100%,100%,100%,82%,81%,77%,77%,78%,78%,78%,78%,78%,0.0,0.0,0.0,0.0,0.0,0.0,33.5,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3
DZA,Algeria,Algérie,North Africa,"2,381,740","1,483,508","2,981,625","4,364,236","6,529,146","9,885,877","14,267,969","19,762,046","24,427,994","30,688,131","33,605,556","36,168,671","38,475,553","40,708,134","43,007,505","45,189,889","4,460","4,878","5,489","6,064","6,613","7,187","7,809","8,425","8,920,704","10,267,137","13,457,110","17,831,188","24,671,419","30,267,029","35,978,000","39,963,000","43,851,043","46,923,214","49,454,976","51,607,965","53,651,810","55,686,973","57,590,012",17%,29%,32%,37%,40%,47%,55%,61%,70%,72%,73%,75%,76%,77%,78%,31,66,93,127,189,297,376,425,493,507,519,524,526,528,529,29%,25%,26%,23%,18%,15%,15%,16%,16%,18%,18%,18%,18%,18%,18%,73.1,47.2,45.1,38.5,37.1,27.6,24.4,22.5,19.4,19.9,19.7,19.6,19.7,19.5,19.5
EGY,Egypt,Égypte,North Africa,"995,450","5,424,754","7,992,077","11,375,889","15,492,572","21,335,631","26,669,671","39,550,630","60,470,372","100,298,347","108,853,289","116,670,091","124,604,226","132,559,451","140,033,821","146,626,401","5,691","8,362","9,392","10,394","11,456","12,569","13,757","14,807","20,444,030","25,749,888","32,351,784","40,577,980","51,996,257","63,849,886","79,691,191","90,626,816","102,334,403","114,643,520","122,693,578","130,910,336","139,267,370","147,037,554","153,947,618",27%,31%,35%,38%,41%,42%,50%,67%,98%,95%,95%,95%,95%,95%,95%,67,93,134,195,296,391,509,590,817,804,833,852,856,855,838,47%,49%,50%,49%,47%,45%,41%,38%,38%,38%,38%,38%,38%,37%,38%,18.5,15.1,16.0,13.4,10.9,9.7,9.2,8.3,6.6,6.8,6.7,6.6,6.5,6.5,6.7
ERI,Eritrea,Érythrée,East Africa,"101,000","136,286","174,418","317,670","384,324","495,800","747,683","942,952","1,185,085","1,403,404","1,640,000","1,866,747","2,192,342","2,542,998","2,886,292","3,207,889",144,169,221,268,353,449,562,689,"1,182,100","1,449,600","1,772,200","2,429,200","3,219,800","2,841,169","4,056,465","4,847,000","3,546,427","3,823,772","4,139,941","4,484,242","4,834,312","5,173,428","5,483,676",12%,12%,18%,16%,15%,26%,23%,24%,40%,43%,45%,49%,53%,56%,58%,4,5,6,6,7,17,19,26,28,32,33,39,46,48,48,73%,71%,69%,75%,73%,54%,47%,39%,34%,33%,33%,32%,31%,30%,30%,49.1,140.4,123.9,123.9,116.6,54.4,50.3,40.5,37.8,33.0,33.1,28.3,25.6,24.4,24.4
ETH,Ethiopia,Éthiopie,East Africa,"1,000,000","503,399","778,118","1,323,940","2,343,023","3,771,576","6,179,469","11,159,216","22,690,880","29,653,091","35,335,122","41,095,287","46,960,284","52,920,921","58,895,925","64,863,185","6,974","8,192","9,980","12,015","14,354","16,768","19,289","22,012","18,809,147","22,057,838","24,901,200","35,259,139","48,459,134","61,998,962","81,749,143","90,078,000","100,891,000","112,504,160","123,751,001","134,319,272","144,281,830","153,673,429","162,321,057",3%,4%,5%,7%,8%,10%,14%,25%,29%,31%,33%,35%,37%,38%,40%,6,11,23,44,74,132,298,448,515,549,563,563,568,562,551,72%,70%,60%,55%,48%,39%,27%,16%,14%,14%,13%,13%,13%,13%,13%,173.4,116.9,77.8,57.4,47.5,42.0,24.8,19.5,17.6,17.1,17.2,17.2,17.2,17.3,17.6
GAB,Gabon,Gabon,Central Africa,"257,670","10,400","45,900","102,300","233,802","511,361","857,707","1,226,431","1,506,156","1,703,517","1,914,507","2,131,743","2,337,037","2,553,745","2,760,995","2,952,284",349,433,509,594,681,784,889,995,"408,800","448,600","517,000","789,978","935,003","1,330,612","1,701,217","1,866,481","2,225,728","2,461,182","2,684,648","2,899,198","3,110,735","3,316,687","3,511,326",3%,10%,20%,30%,55%,64%,72%,81%,77%,78%,79%,81%,82%,83%,84%,1,2,2,5,7,11,12,14,15,16,18,19,21,22,22,100%,60%,70%,64%,69%,62%,59%,59%,59%,58%,58%,57%,57%,57%,57%,0.0,148.8,148.8,121.2,133.3,102.7,92.4,92.7,91.4,84.9,79.0,79.0,74.0,73.2,73.2
GHA,Ghana,Ghana,West Africa,"227,540","381,001","1,017,750","1,784,032","2,491,755","3,647,239","6,241,045","11,502,444","13,489,890","16,403,846","18,749,476","21,079,461","23,538,672","25,981,922","28,373,045","30,548,474","3,261","6,166","7,391","8,667","10,065","11,601","13,199","14,696","5,544,286","6,726,800","8,559,313","11,028,695","14,240,129","18,412,247","24,223,431","27,403,036","30,313,000","33,202,944","36,064,342","38,879,647","41,595,552","44,232,287","46,580,158",7%,15%,21%,23%,26%,34%,47%,49%,54%,56%,58%,61%,62%,64%,66%,9,30,40,51,71,100,158,173,228,235,243,265,287,297,302,66%,51%,54%,52%,51%,54%,54%,54%,49%,48%,49%,50%,49%,50%,50%,71.4,48.5,33.4,32.9,28.5,25.7,19.7,18.8,15.6,15.8,15.4,14.5,13.8,13.4,13.4
GIN,Guinea,Guinée,West Africa,"245,720","88,900","225,960","568,339","950,388","1,629,369","2,411,240","3,319,151","4,044,553","5,222,145","6,209,409","7,354,022","8,509,607","9,722,790","10,969,135","12,225,842",777,"1,104","1,461","1,950","2,521","3,171","3,916","4,721","2,250,200","2,961,630","4,132,500","5,444,500","6,476,319","7,777,717","9,769,195","10,923,758","13,132,792","14,841,458","16,617,115","18,389,421","20,116,346","21,818,740","23,440,685",4%,8%,14%,17%,25%,31%,34%,37%,40%,42%,44%,46%,48%,50%,52%,5,7,11,16,21,31,37,42,56,59,66,69,75,79,81,41%,55%,63%,62%,55%,52%,53%,54%,52%,51%,50%,50%,49%,53%,53%,108.3,93.9,82.3,76.5,70.2,55.6,48.5,43.8,33.0,33.2,33.3,32.9,30.8,29.1,28.4
GMB,The Gambia,Gambie,West Africa,"10,120","26,038","25,520","64,399","127,161","266,548","484,211","753,261","916,278","1,064,615","1,332,635","1,686,377","2,021,803","2,369,237","2,709,110","3,047,400",195,363,514,742,"1,002","1,292","1,566","1,869","275,595","306,293","436,367","627,800","919,065","1,261,559","1,723,030","2,023,790","2,229,000","2,539,453","2,856,151","3,167,332","3,460,852","3,739,590","4,000,401",9%,8%,15%,20%,29%,38%,44%,45%,48%,52%,59%,64%,68%,72%,76%,1,1,2,2,3,5,7,7,8,9,10,10,12,12,12,0%,0%,44%,66%,77%,82%,84%,86%,85%,86%,87%,90%,90%,91%,91%,0.0,0.0,20.7,20.7,47.8,42.8,31.9,31.9,13.4,13.8,18.0,19.9,17.4,17.4,17.4
GNB,Guinea-Bissau,Guinée-Bissau,West Africa,"28,120","46,163","49,844","118,572","129,396","210,809","329,992","470,351","525,458","748,822","851,379","968,726","1,113,049","1,252,772","1,399,742","1,519,141",95,120,141,168,207,248,298,343,"508,970","525,437","487,448","784,577","952,106","1,187,876","1,516,625","1,530,637","1,967,998","2,185,082","2,402,266","2,617,124","2,829,075","3,034,995","3,226,266",9%,9%,24%,16%,22%,28%,31%,34%,38%,39%,40%,43%,44%,46%,47%,1,1,1,2,3,3,4,6,11,11,12,15,17,18,18,100%,100%,100%,89%,87%,91%,82%,78%,72%,72%,71%,68%,67%,66%,65%,0.0,0.0,0.0,101.8,64.2,64.2,47.7,39.4,35.4,35.4,31.2,28.4,26.2,27.8,27.8
GNQ,Equatorial Guinea,Guinée équatoriale,Central Africa,"28,050","49,300","58,300","64,400","73,000","91,728","353,010","443,062","607,000","732,700","909,589","1,104,660","1,275,620","1,452,381","1,650,771","1,829,979",116,126,223,301,381,477,615,718,"198,663","245,989","262,182","290,815","356,282","886,749","1,143,891","1,222,442","1,402,985","1,619,711","1,826,381","2,018,269","2,203,089","2,380,849","2,538,679",25%,24%,25%,25%,26%,40%,39%,50%,52%,56%,60%,63%,66%,69%,72%,2,2,2,2,2,2,3,5,5,7,9,9,9,10,10,100%,100%,100%,100%,100%,100%,98%,94%,93%,91%,89%,89%,88%,88%,87%,233.3,233.3,233.3,233.3,233.3,233.3,184.3,94.0,94.0,72.0,62.1,62.1,62.1,55.6,55.6
KEN,Kenya,Kenya,East Africa,"569,140","264,624","523,639","917,251","1,633,712","2,633,996","5,742,400","11,555,609","17,823,155","39,103,477","44,948,053","50,191,813","55,504,049","60,601,314","65,408,119","69,827,139","10,676","33,109","38,488","43,602","49,181","54,826","59,448","63,458","5,777,137","8,052,106","11,317,698","15,850,495","22,076,819","29,551,624","39,434,612","44,156,577","48,567,000","53,541,727","58,460,302","63,254,784","67,657,806","71,653,098","75,118,369",5%,7%,8%,10%,12%,19%,29%,40%,81%,84%,86%,88%,90%,91%,93%,4,5,7,13,22,39,54,62,154,139,140,126,114,104,93,88%,87%,86%,74%,71%,65%,47%,40%,23%,40%,41%,41%,42%,42%,8%,205.3,151.7,88.2,119.2,98.9,73.7,56.5,49.0,23.1,24.4,24.9,27.6,27.7,29.3,30.6
LBR,Liberia,Libéria,West Africa,"96,320","22,900","64,861","190,241","475,778","757,321","1,039,986","1,444,893","1,696,249","2,240,709","2,546,870","2,855,688","3,179,117","3,495,677","3,804,226","4,096,810",371,580,690,808,949,"1,107","1,277","1,451","820,000","955,024","1,354,407","1,867,074","2,400,746","2,965,358","3,810,975","4,045,171","5,057,677","5,630,388","6,216,851","6,805,258","7,384,352","7,936,451","8,447,384",3%,7%,14%,25%,32%,35%,38%,42%,44%,45%,46%,47%,47%,48%,48%,1,1,4,12,13,14,19,20,26,25,24,25,24,24,24,100%,100%,79%,66%,70%,73%,70%,70%,71%,74%,76%,77%,82%,83%,84%,0.0,0.0,47.0,81.4,62.9,54.2,40.4,36.7,30.5,31.5,33.4,33.9,34.4,34.4,34.4
LBY,Libya,Libye,North Africa,"1,759,540","394,250","588,782","912,505","1,559,148","2,667,338","3,672,049","4,055,795","4,055,795","5,535,283","5,845,732","6,091,925","6,264,425","6,439,603","6,526,588","6,548,213","2,722","3,813","4,113","4,336","4,500","4,657","4,738","4,759","938,578","1,348,436","2,008,748","3,064,282","4,275,614","5,342,509","5,467,108","5,467,108","6,931,000","7,264,912","7,532,724","7,733,589","7,887,565","7,981,717","8,008,163",42%,44%,45%,51%,62%,69%,74%,74%,80%,80%,81%,81%,82%,82%,82%,12,14,16,18,27,38,39,39,58,61,64,65,70,71,71,42%,49%,48%,46%,44%,45%,48%,48%,42%,42%,42%,41%,41%,41%,41%,94.8,81.5,99.2,145.3,95.9,82.7,80.8,80.8,57.5,55.4,53.1,52.5,46.8,47.6,47.6
LSO,Lesotho,Lesotho,Southern Africa,"30,360",-,"11,393","50,771","87,533","162,523","309,620","451,910","509,057","905,825","1,098,722","1,300,114","1,489,152","1,675,162","1,858,226","2,039,243",285,310,408,522,642,767,896,"1,036","595,713","724,001","991,638","1,368,891","1,709,796","1,868,364","1,891,549","1,998,573","2,142,252","2,202,050","2,269,853","2,328,756","2,376,380","2,413,753","2,433,392",0%,2%,5%,6%,10%,17%,24%,25%,42%,50%,57%,64%,70%,77%,84%,0,1,2,2,4,6,9,9,17,16,15,15,13,11,11,0%,100%,74%,80%,70%,71%,58%,60%,47%,46%,45%,44%,45%,49%,48%,0.0,0.0,62.0,62.0,23.6,39.5,26.1,26.1,24.7,26.5,29.3,29.3,33.7,39.2,39.2
MAR,Morocco,Maroc,North Africa,"446,300","2,192,387","3,099,575","4,625,887","6,978,129","10,013,428","13,167,805","16,313,607","19,388,850","25,182,508","27,298,148","29,181,754","30,954,584","32,570,568","33,987,145","35,180,560","2,451","3,383","3,804","4,194","4,599","5,008","5,383","5,729","8,758,248","11,686,470","14,972,260","19,288,567","23,911,351","28,205,118","32,106,453","34,165,283","36,910,558","38,667,056","40,146,466","41,325,574","42,245,782","42,904,995","43,270,349",25%,27%,31%,36%,42%,47%,51%,57%,68%,71%,73%,75%,77%,79%,81%,31,44,53,73,93,127,133,152,233,246,251,263,274,278,282,40%,41%,42%,39%,35%,31%,31%,32%,28%,29%,29%,29%,28%,28%,28%,55.7,50.9,44.8,42.1,37.8,31.8,32.5,29.6,23.6,23.0,23.1,22.3,22.1,22.3,22.1
MDG,Madagascar,Madagascar,East Africa,"587,041","332,800","483,700","849,856","1,322,825","1,717,114","2,960,402","4,599,356","5,325,140","6,231,177","7,657,050","9,236,539","10,912,364","12,687,925","14,554,723","16,495,672",588,628,833,"1,096","1,433","1,862","2,265","2,700","4,304,723","5,600,000","7,006,013","8,678,391","11,305,460","15,061,324","21,545,145","24,645,021","27,691,019","31,157,972","34,732,974","38,335,241","41,912,402","45,417,367","48,842,329",8%,9%,12%,15%,15%,20%,21%,22%,23%,25%,27%,28%,30%,32%,34%,9,12,20,33,35,43,61,67,77,88,96,98,101,103,103,52%,43%,45%,39%,38%,47%,48%,47%,46%,46%,46%,47%,47%,48%,48%,193.5,175.9,123.9,81.4,84.1,79.5,56.5,53.1,49.3,46.7,44.4,44.5,43.6,42.6,42.7
